,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount,stage,year_funded
0,Aqgromalin,2019,Tamil Nadu,Agriculture & Environment,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Early Traction,2020-01-01
1,Krayonnz,2019,Bengaluru,Education & Training,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Ideation,2020-01-01
2,PadCare Labs,2018,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Ideation,2020-01-01
3,NCOME,2020,Delhi,Finance sector,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Early Traction,2020-01-01
4,Gramophone,2016,Indore,Agriculture & Environment,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Early Traction,2020-01-01
5,qZense,2019,Bengaluru,Agriculture & Environment,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Validation,2020-01-01
6,MyClassboard,2008,Hyderabad,Education & Training,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Early Traction,2020-01-01
7,Metvy,2018,Gurgaon,Communication & Networking,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Early Traction,2020-01-01
8,Rupeek,2015,Bengaluru,Finance sector,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Scaling,2020-01-01
9,Gig India,2017,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Early Traction,2020-01-01
10,Slurrp Farm,2016,Gurgaon,Food & Beverage,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Early Traction,2020-01-01
11,Medfin,2017,Bengaluru,Health care,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Early Traction,2020-01-01
12,MasterG,2015,Delhi,Retail & E-commerce,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Early Traction,2020-01-01
13,Brila 91,2014,Delhi,Food & Beverage,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Early Traction,2020-01-01
14,FoodyBuddy,2015,Belgaum,Food & Beverage,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Early Traction,2020-01-01
15,Zomato,2008,Gurgaon,Food & Beverage,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Early Traction,2020-01-01
16,OurEye.ai,2020,Bengaluru,Technology sector,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Early Traction,2020-01-01
17,Shiprocket,2017,Delhi,Retail & E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Scaling,2020-01-01
18,Pine Labs,1998,Uttar Pradesh,Finance sector,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Early Traction,2020-01-01
19,Moneyboxx Finance,2019,Delhi,Finance sector,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Early Traction,2020-01-01
20,EWar,2019,Bengaluru,Media & Entertainment,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Early Traction,2020-01-01
21,SucSEED Indovation,2016,Hyderabad,Finance sector,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Venture Catalysts,5000000.0,Early Traction,2020-01-01
22,TaxBuddy.com,2019,Mumbai,Finance sector,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Early Traction,2020-01-01
23,Awign Enterprises,2016,Bengaluru,Work fulfillment,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Early Traction,2020-01-01
24,Circle of Angels,2018,Gurgaon,Finance sector,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Venture Catalysts,3000000.0,Early Traction,2020-01-01
25,CoinDCX,2017,Mumbai,Finance sector,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Scaling,2020-01-01
26,Glance,2016,Bengaluru,Technology sector,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Early Traction,2020-01-01
